community_area_number,condo_sale_price,latitude,longitude
8,717287.475,41.899853153732764,-87.62942219725959
24,430368.75,41.901348531249994,-87.67286650185132
7,424079.52,41.92369189451063,-87.64821470765666
5,395800.0,41.9422858702507,-87.6793703947528
17,385000.0,41.93824,-87.7907614
6,336969.5652173913,41.94423442673971,-87.65022904277876
13,295000.0,41.9793687,-87.7124246
14,280000.0,41.966631,-87.716529
22,273000.0,41.92286597,-87.69419126528594
28,271444.44444444444,41.875370887057095,-87.66218301346383
32,269438.2,41.87697538440547,-87.62670918387721
3,240211.11111111112,41.96177873226597,-87.65335222495655
49,235000.0,41.709143,-87.6138244
77,227890.36363636365,41.98637620787836,-87.66015802655542
35,226500.0,41.83789885454546,-87.62250201363636
11,223833.33333333334,41.975201983333335,-87.76722420879963
33,222000.0,41.85890835,-87.62270821566445
41,200950.0,41.7975613,-87.59399039043876
1,185374.0,42.012435864817746,-87.66501200061016
15,161466.66666666666,41.96511338333333,-87.76301057677496
16,161300.0,41.95692609063293,-87.71279282035833
10,150000.0,41.9755398,-87.8267783
27,150000.0,41.8821415,-87.69941460790044
34,125000.0,41.8545586,-87.6373553
18,124750.0,41.932030225000005,-87.80322084634327
2,115507.69230769231,42.004352595696815,-87.69701040078023
39,113750.0,41.810943525,-87.59412590537498
76,103166.66666666667,41.96850901527694,-87.83925974629511
25,101250.0,41.9072436,-87.78852425853033
72,100000.0,41.7246926,-87.6753602
26,80000.0,41.8728072,-87.7390159
43,69250.0,41.7681040625,-87.57103148115857
53,69000.0,41.6614678,-87.6347604
65,60100.0,41.7764802,-87.7239364
56,46600.0,41.792532550000004,-87.7628859
63,45000.0,41.786252,-87.7033563
69,24900.0,41.75293725,-87.60183472764069
