community_area_number,house_sale_price,latitude,longitude
7,2331071.4285714286,41.919855514285715,-87.64918141809835
13,975000.0,41.99478925,-87.71622779832234
6,810472.2222222222,41.94804663888888,-87.66317414526942
33,778000.0,41.86500925,-87.62812731457521
24,679063.3333333334,41.90067301333333,-87.67513571654538
5,664250.0,41.946834675,-87.6821977293211
39,600000.0,41.8104952,-87.59955578132602
41,595000.0,41.7932958,-87.59044236216677
22,544000.0,41.92460506,-87.70379625865618
4,522385.0,41.97036053265306,-87.68341587315726
16,499750.0,41.95424635416667,-87.71339249378445
9,496875.0,42.005053024999995,-87.81144012842381
1,464000.0,42.008152875,-87.68041281914051
14,460000.0,41.96282452551797,-87.711315853766
21,448911.8181818182,41.938844984813244,-87.71340842647795
28,435180.0,41.875414433755935,-87.67731028148405
77,405000.0,41.98201105,-87.67431798871965
11,382500.0,41.976700375,-87.77597489820016
2,353200.0,41.998785250000005,-87.693492052709
15,350118.1818181818,41.95368392272727,-87.76297072267215
40,347500.0,41.796920324999995,-87.62376322975318
10,326140.0,41.987088725,-87.80122000452272
17,302821.4285714286,41.94570820714285,-87.81675654315164
8,295000.0,41.8904815,-87.6196044
42,293250.0,41.7791487125,-87.60379325466843
12,288250.0,41.99602961666667,-87.75227450118057
19,281288.8888888889,41.92427209083266,-87.77188478918069
60,273250.0,41.835330799999994,-87.65130972213717
34,269500.0,41.846501849999996,-87.636683
18,257600.0,41.935277,-87.79719446151822
67,240000.0,41.7604375,-87.6588479
56,231911.11111111112,41.79638707777778,-87.77301463820336
59,230000.0,41.82819545584364,-87.67809488359305
20,225580.0,41.9217433,-87.73304095867772
57,213350.0,41.808072675,-87.72703546128433
23,203292.11111111112,41.90671378888888,-87.7187205004683
76,200000.0,41.9699818,-87.87928205
44,199250.0,41.7417181,-87.61124637529328
62,198417.75,41.794012412499995,-87.72968079699417
74,195557.8,41.69679429354911,-87.70674880558903
64,195023.8,41.77781961,-87.768869967412
58,188000.0,41.817848,-87.697938
26,187475.0,41.8813413125,-87.73276922333149
55,180000.0,41.657732575,-87.55440587144018
63,172800.0,41.794092150000004,-87.69113904244047
32,172435.0,41.8755616,-87.6244212
38,160000.0,41.8236535,-87.6082424
73,153295.66666666666,41.720619158333335,-87.65454309093202
72,150980.0,41.717705839999994,-87.67455523121342
29,146700.0,41.86077064285714,-87.71902729230324
70,144243.7,41.747044785,-87.71920474057933
48,143500.0,41.7313466,-87.57157470860435
25,141871.0,41.89820211666666,-87.76418288733943
75,135860.0,41.692519749999995,-87.66334018838003
52,135015.0,41.699384412499995,-87.52814582531973
50,134000.0,41.688757100000004,-87.6104099783525
30,121466.66666666667,41.84571699166667,-87.71142062715144
66,113700.0,41.767836099373746,-87.69354119927348
51,108000.0,41.719231750000006,-87.56289724999999
43,106640.0,41.75785139,-87.56912583857847
31,94500.0,41.8596022,-87.64509949690306
71,93072.72727272728,41.74538905687798,-87.65692272514273
49,67127.27272727272,41.703056359090915,-87.62490388828682
69,65563.125,41.75905655625,-87.6246425273018
68,56375.0,41.7840456125,-87.64236662993163
65,56250.0,41.773324849999995,-87.72275495
61,53875.00000000001,41.8069110625,-87.66967522361159
53,52808.0,41.67720659,-87.63993087049577
46,52236.501901140684,41.74555488906755,-87.5620282673625
35,50500.0,41.8421032,-87.6139439
54,23000.0,41.65712255,-87.61005201177827
37,22000.0,41.807492499999995,-87.6335903317079
